"试验标准";"GB/T 228-2010"
"试样类型";"棒材"
"采样频率";"30Hz"
"采样点数";"2692"


"序号";1;""
"试验编号";;""
"试样编号";;""
"试验项目号";;""
"测试序号";;""
"试样数目";;""
"系统编号";;""
"试样组别";;""
"试样标识";;""
"材料名称";;""
"试样类型";;""
"试样取样方向";;""
"试样取样位置";;""
"规定非比例延伸率εp";0.20;"％"
"规定总延伸率εt";0.50;"％"
"断后标距Lu";0.00;"mm"
"原始标距Lo";48.90;"mm"
"断后最小横截面积Su";0.00;"mm^2"
"试样直径d";3.88;"mm"
"引伸计标距Le";50.00;"mm"
"加荷速度";0;""
"试验启动时间";2024-04-12 15:29:30;""
"试验连续时间";89.9;""
"抗拉强度Rm";408.8453;"MPa"
"规定非比例延伸强度Rp";331.2783;"MPa"
"下屈服强度ReL";0.00;"MPa"
"断后伸长率A";-100.00;"％"
"断面收缩率Z";100.00;"％"
"弹性模量E";31583.2373;"MPa"
"最大力Fm";7.6783;"kN"
"上屈服强度ReH";331.2783;"MPa"
"断裂总伸长率At";2.9876;"％"
"最大力非比例伸长率Ag";1.2943;"％"
"最大力总伸长率Agt";2.5888;"％"
"原始横截面积So";18.7805;"mm^2"
"最大力总延伸△Lm";1.2944;"mm"
"断后伸长";-48.90;"mm"
"规定非比例延伸力Fp";6.2216;"kN"
"规定总延伸强度Rt";158.1146;"MPa"
"规定总延伸力Ft";2.9695;"kN"


"PlayTime";"LoadValue";"PositionValue";"ExtendValue";"BigDeformValue";"ExtendDevice1";"ExtendDevice2";"ExtendDevice3";"ExtendDevice4";"ExtendDevice5";"ExtendDevice6"
"s";"N";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm"
2.4000000000;15.5680000000;0.0382560700;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.4333330000;15.5476300000;0.0388221300;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.4666670000;15.5680000000;0.0393646000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5000000000;15.5680000000;0.0399306600;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5333330000;15.5680000000;0.0404967100;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.5666670000;15.5680000000;0.0410391900;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6000000000;15.5476300000;0.0415816600;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6333330000;15.5680000000;0.0421477200;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.6666670000;15.5883800000;0.0427137800;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7000000000;15.5680000000;0.0432562500;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7333330000;15.5680000000;0.0438223000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.7666670000;15.5680000000;0.0443647800;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8000000000;15.5680000000;0.0449308300;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8333330000;15.5680000000;0.0454968900;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.8666670000;15.5476300000;0.0460393700;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.9000000000;15.5476300000;0.0466054200;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.9333330000;15.5272500000;0.0471479000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
