"PlayTime";"LoadValue";"PositionValue";"ExtendValue";"BigDeformValue";"ExtendDevice1";"ExtendDevice2";"ExtendDevice3";"ExtendDevice4";"ExtendDevice5";"ExtendDevice6"
"s";"N";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"mm"
0.9000000000;60.6622400000;0.0254490100;0.0046433260;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.9333333000;61.1716600000;0.0265575400;0.0048984540;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
0.9666666000;61.6810900000;0.0276660700;0.0051535820;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.0000000000;62.2108900000;0.0287981900;0.0054597350;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.0333330000;62.6999400000;0.0298831300;0.0058169140;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.0666670000;63.1278500000;0.0310152500;0.0061740930;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.1000000000;63.6169000000;0.0321237800;0.0063271690;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.1333330000;64.1059400000;0.0332323100;0.0065312720;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.1666670000;64.5542400000;0.0343408400;0.0068374250;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.2000000000;65.0636600000;0.0354493700;0.0070925530;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.2333330000;65.5527100000;0.0365343100;0.0072456300;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.2666670000;66.2251500000;0.0376428400;0.0074497320;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.3000000000;67.1013600000;0.0387513700;0.0076538340;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.3333330000;68.2628500000;0.0398599000;0.0076538340;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.3666670000;69.5058400000;0.0409920200;0.0075517830;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.4000000000;70.6673300000;0.0421005500;0.0073987060;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.4333330000;71.7065600000;0.0432090800;0.0071946040;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.4666670000;72.7254000000;0.0443176100;0.0070415270;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.5000000000;73.7442600000;0.0454261300;0.0069394760;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.5333330000;74.7019700000;0.0465582500;0.0067864000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.5666670000;75.7004400000;0.0476667800;0.0066333230;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.6000000000;76.6581600000;0.0487753100;0.0064292210;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.6333330000;77.5955000000;0.0499074300;0.0062761440;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.6666670000;78.5328400000;0.0510159500;0.0061740930;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.7000000000;79.4294300000;0.0521244900;0.0060720420;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.7333330000;80.1833700000;0.0532094300;0.0059189650;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.7666670000;80.7539300000;0.0543179600;0.0057658880;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.8000000000;81.2022200000;0.0554500700;0.0056128120;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.8333330000;81.5690100000;0.0565586100;0.0055107600;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.8666670000;81.8950400000;0.0576671400;0.0054087090;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.9000000000;82.2414500000;0.0587756600;0.0053066580;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.9333330000;82.5674800000;0.0598841900;0.0053066580;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
1.9666670000;82.8731300000;0.0609927300;0.0052046070;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
2.0000000000;83.1787900000;0.0621248400;0.0051535820;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
